word	n_tokens	n_docs	sites	top_series	damaged_share
zo-a	8	8	KN:8	Fh:8	0.12
qe-te-o	8	8	KN:5,TH:3	L-:4,Wu:3,Fh:1	0.50
sa-qa-re-jo	8	8	KN:8	Dl:8	0.62
me-wi-jo	8	6	KN:4,PY:4	Ak:4,Ta:3,Cn:1	0.38
i-jo	8	6	KN:5,PY:3	Vs:3,E-:1,Xd:1	0.50
pe-ma	8	6	KN:4,PY:4	Er:4,Ga:3,X-:1	0.50
po-me	8	8	PY:6,KN:2	Ea:3,Am:1,Dd:1	0.25
pu-na-so	8	8	KN:8	Da:2,E-:1,Cg:1	0.38
qa-si-re-wi-ja	8	3	KN:5,PY:3	K-:4,Fn:3,As:1	0.25
e-ri-ka	8	8	KN:8	So:8	0.12
qe	8	8	KN:5,TH:2,PY:1	Sc:2,C-:1,Vs:1	1.00
da-ra-ko	8	8	KN:8	De:2,X-:2,Dk:1	0.25
mo-ro-qa	8	5	PY:6,KN:2	Aq:4,C-:1,Xd:1	0.25
po-ni-ki-ja	8	8	KN:8	Sd:5,Se:2,Sf:1	0.25
pe-ri-qo-te-jo	8	8	KN:8	Da:4,Dv:2,De:1	0.62
ko-ru-to	8	8	PY:7,KN:1	Sh:7,Dv:1	0.00
o-pi-i-ja-pi	8	8	KN:8	Sd:7,Sf:1	0.50
ka-ra-do-ro	8	8	PY:8	Ac:1,An:1,Cn:1	0.38
re-u-ko-to-ro	8	8	PY:8	Ad:5,An:1,Ma:1	0.12
ka-wi-jo	8	8	TH:7,PY:1	Fq:7,An:1	0.12
angustum	8	4	PY:8	An:2,En:2,Tn:2	0.25
ke-ki-de	8	4	PY:8	An:7,Na:1	0.12
ke-re-te-u	8	6	PY:8	Ea:8	0.00
ra-wa-ke-si-jo	8	8	PY:8	Ea:6,Er:1,Na:1	0.25
ma-ka	8	8	TH:8	Fq:6,Gp:1,X-:1	0.25
i	7	7	PY:3,KN:2,TH:1,MY:1	Fs:1,Mc:1,Ea:1	1.00
we-ka-ta	7	2	KN:7	Ce:7	0.00
tu	7	7	KN:5,PY:1,TH:1	Ap:2,Vc:1,Lc:1	0.86
