doc	context	sigla	epoch
HTWa1203	LMIB		LM
HTWa1204	LMIB		LM
HTWa1205	LMIB	LMIB	LM
HTWa1206	LMIB	LMIB	LM
HTWa1207	LMIB		LM
HTWa1208	LMIB		LM
HTWa1209	LMIB		LM
HTWa1210	LMIB		LM
HTWa1211	LMIB		LM
HTWa1212	LMIB		LM
HTWa1213	LMIB		LM
HTWa1214	LMIB		LM
HTWa1215	LMIB		LM
HTWa1216	LMIB		LM
HTWa1217	LMIB		LM
HTWa1218	LMIB		LM
HTWa1219	LMIB		LM
HTWa1220	LMIB		LM
HTWa1221	LMIB		LM
HTWa1222	LMIB		LM
HTWa1223	LMIB		LM
HTWa1224	LMIB		LM
HTWa1225	LMIB		LM
HTWa1226	LMIB		LM
HTWa1227	LMIB		LM
HTWa1228	LMIB		LM
HTWa1229	LMIB		LM
HTWa1230	LMIB		LM
HTWa1231	LMIB		LM
HTWa1232	LMIB		LM
HTWa1233	LMIB		LM
HTWa1234	LMIB		LM
HTWa1235	LMIB		LM
HTWa1236	LMIB	LMIB	LM
HTWa1237	LMIB		LM
HTWa1238	LMIB		LM
HTWa1239	LMIB		LM
HTWa1240	LMIB		LM
HTWa1241	LMIB		LM
HTWa1242	LMIB	LMIB	LM
HTWa1243	LMIB		LM
HTWa1244	LMIB	LMIB	LM
HTWa1245	LMIB		LM
HTWa1246	LMIB		LM
HTWa1247	LMIB		LM
HTWa1248	LMIB		LM
HTWa1249	LMIB		LM
HTWa1250	LMIB		LM
HTWa1251	LMIB		LM
HTWa1252	LMIB	LMIB	LM
HTWa1253	LMIB		LM
HTWa1254	LMIB		LM
HTWa1255	LMIB	LMIB	LM
HTWa1256	LMIB	LMIB	LM
HTWa1257	LMIB		LM
HTWa1258	LMIB		LM
HTWa1259	LMIB		LM
HTWa1260	LMIB		LM
HTWa1261	LMIB		LM
HTWa1262	LMIB		LM
HTWa1263	LMIB		LM
HTWa1264	LMIB		LM
HTWa1265	LMIB		LM
HTWa1266	LMIB		LM
HTWa1267	LMIB		LM
HTWa1268	LMIB	LMIB	LM
HTWa1269	LMIB		LM
HTWa1270	LMIB		LM
HTWa1271	LMIB		LM
HTWa1272	LMIB		LM
HTWa1273	LMIB		LM
HTWa1274	LMIB		LM
HTWa1275	LMIB		LM
HTWa1276	LMIB		LM
HTWa1277	LMIB		LM
HTWa1278	LMIB	LMIB	LM
HTWa1279	LMIB	LMIB	LM
HTWa1280	LMIB	LMIB	LM
HTWa1281	LMIB	LMIB	LM
HTWa1282	LMIB	LMIB	LM
HTWa1283	LMIB	LMIB	LM
HTWa1284	LMIB		LM
HTWa1285	LMIB		LM
HTWa1286	LMIB		LM
HTWa1287	LMIB	LMIB	LM
HTWa1288	LMIB		LM
HTWa1289	LMIB		LM
HTWa1290	LMIB		LM
HTWa1291	LMIB		LM
HTWa1292	LMIB	LMIB	LM
HTWa1293	LMIB	LMIB	LM
HTWa1294	LMIB	LMIB	LM
HTWa1295	LMIB	LMIB	LM
HTWa1296	LMIB		LM
HTWa1297	LMIB		LM
HTWa1298	LMIB	LMIB	LM
HTWa1299	LMIB		LM
HTWa1300	LMIB		LM
HTWa1301	LMIB		LM
HTWa1302	LMIB		LM
HTWa1303	LMIB	LMIB	LM
HTWa1304	LMIB		LM
HTWa1305	LMIB	LMIB	LM
HTWa1306	LMIB		LM
HTWa1307	LMIB	LMIB	LM
HTWa1308	LMIB	LMIB	LM
HTWa1309	LMIB		LM
HTWa1310	LMIB		LM
HTWa1311	LMIB		LM
HTWa1312	LMIB		LM
HTWa1313	LMIB		LM
HTWa1314	LMIB		LM
HTWa1315	LMIB		LM
HTWa1316	LMIB		LM
HTWa1317	LMIB	LMIB	LM
HTWa1318	LMIB		LM
HTWa1319	LMIB	LMIB	LM
HTWa1320	LMIB		LM
HTWa1321	LMIB		LM
HTWa1322	LMIB		LM
HTWa1323	LMIB	LMIB	LM
HTWa1324	LMIB	LMIB	LM
HTWa1325	LMIB		LM
HTWa1326	LMIB		LM
HTWa1327	LMIB		LM
HTWa1328	LMIB		LM
HTWa1329	LMIB		LM
HTWa1330	LMIB		LM
HTWa1331	LMIB		LM
HTWa1332	LMIB		LM
HTWa1333	LMIB		LM
HTWa1334	LMIB		LM
HTWa1335	LMIB		LM
HTWa1336	LMIB		LM
HTWa1337	LMIB		LM
HTWa1338	LMIB		LM
HTWa1339	LMIB		LM
HTWa1340	LMIB		LM
HTWa1341	LMIB		LM
HTWa1342	LMIB		LM
HTWa1343	LMIB		LM
HTWa1344	LMIB		LM
HTWa1345	LMIB		LM
HTWa1346	LMIB		LM
HTWa1347	LMIB		LM
HTWa1348	LMIB		LM
HTWa1349	LMIB		LM
HTWa1350	LMIB		LM
HTWa1351	LMIB		LM
HTWa1352	LMIB		LM
HTWa1353	LMIB		LM
HTWa1354	LMIB		LM
HTWa1355	LMIB		LM
HTWa1356	LMIB		LM
HTWa1357	LMIB		LM
HTWa1358	LMIB		LM
HTWa1359	LMIB		LM
HTWa1360	LMIB		LM
HTWa1361	LMIB		LM
HTWa1362	LMIB		LM
HTWa1363	LMIB		LM
HTWa1364	LMIB		LM
HTWa1365	LMIB		LM
HTWa1366	LMIB		LM
HTWa1367	LMIB		LM
HTWa1368	LMIB		LM
HTWa1369	LMIB		LM
HTWa1370	LMIB		LM
HTWa1371	LMIB		LM
HTWa1372	LMIB		LM
HTWa1373	LMIB		LM
HTWa1374	LMIB		LM
HTWa1375	LMIB		LM
HTWa1376	LMIB		LM
HTWa1377	LMIB		LM
HTWa1378	LMIB		LM
HTWa1379	LMIB		LM
HTWa1380	LMIB		LM
HTWa1381	LMIB		LM
HTWa1382	LMIB		LM
HTWa1383	LMIB		LM
HTWa1384	LMIB		LM
HTWa1385	LMIB		LM
HTWa1386	LMIB		LM
HTWa1387	LMIB		LM
HTWa1388	LMIB		LM
HTWa1389	LMIB		LM
HTWa1390	LMIB		LM
HTWa1391	LMIB		LM
HTWa1392	LMIB		LM
HTWa1393	LMIB		LM
HTWa1394	LMIB		LM
HTWa1395	LMIB		LM
HTWa1396	LMIB		LM
HTWa1397	LMIB		LM
HTWa1398	LMIB		LM
HTWa1399	LMIB		LM
HTWa1400	LMIB		LM
HTWa1401	LMIB		LM
HTWa1402	LMIB		LM
HTWa1403	LMIB		LM
HTWa1404	LMIB		LM
HTWa1405	LMIB		LM
HTWa1406	LMIB		LM
HTWa1407	LMIB		LM
HTWa1408	LMIB		LM
HTWa1409	LMIB		LM
HTWa1410	LMIB		LM
HTWa1411	LMIB		LM
HTWa1412	LMIB		LM
HTWa1413	LMIB		LM
HTWa1414	LMIB		LM
HTWa1415	LMIB		LM
HTWa1416	LMIB		LM
HTWa1417	LMIB		LM
HTWa1418	LMIB		LM
HTWa1419	LMIB		LM
HTWa1420	LMIB		LM
HTWa1421	LMIB		LM
HTWa1422	LMIB		LM
HTWa1423	LMIB		LM
HTWa1424	LMIB		LM
HTWa1425	LMIB		LM
HTWa1426	LMIB		LM
HTWa1427	LMIB		LM
HTWa1428	LMIB		LM
HTWa1429	LMIB		LM
HTWa1430	LMIB		LM
HTWa1431	LMIB		LM
HTWa1432	LMIB		LM
HTWa1433	LMIB		LM
HTWa1434	LMIB		LM
HTWa1435	LMIB		LM
HTWa1436	LMIB		LM
HTWa1437	LMIB		LM
HTWa1438	LMIB		LM
HTWa1439	LMIB		LM
HTWa1440	LMIB		LM
HTWa1441	LMIB		LM
HTWa1442	LMIB		LM
HTWa1443	LMIB		LM
HTWa1444	LMIB		LM
HTWa1445	LMIB		LM
HTWa1446	LMIB		LM
HTWa1447	LMIB		LM
HTWa1448	LMIB		LM
HTWa1449	LMIB		LM
HTWa1450	LMIB		LM
HTWa1451	LMIB	LMIB	LM
HTWa1452	LMIB		LM
HTWa1453	LMIB		LM
HTWa1454	LMIB		LM
HTWa1455	LMIB		LM
HTWa1456	LMIB		LM
HTWa1457	LMIB		LM
HTWa1458	LMIB		LM
HTWa1459	LMIB		LM
HTWa1460	LMIB		LM
HTWa1461	LMIB		LM
HTWa1462	LMIB		LM
HTWa1463	LMIB		LM
HTWa1464	LMIB		LM
HTWa1465	LMIB		LM
HTWa1466	LMIB		LM
HTWa1467	LMIB		LM
HTWa1468	LMIB		LM
HTWa1469	LMIB		LM
HTWa1470	LMIB		LM
HTWa1471	LMIB	LMIB	LM
HTWa1472	LMIB	LMIB	LM
HTWa1473	LMIB	LMIB	LM
HTWa1474	LMIB	LMIB	LM
HTWa1475	LMIB		LM
HTWa1476	LMIB		LM
HTWa1477	LMIB		LM
HTWa1478	LMIB		LM
HTWa1479	LMIB		LM
HTWa1480	LMIB		LM
HTWa1481	LMIB	LMIB	LM
HTWa1482	LMIB		LM
HTWa1483	LMIB		LM
HTWa1484	LMIB		LM
HTWa1485	LMIB		LM
HTWa1486	LMIB		LM
HTWa1487	LMIB		LM
HTWa1488	LMIB		LM
HTWa1489	LMIB		LM
HTWa1490	LMIB	LMIB	LM
HTWa1491	LMIB		LM
HTWa1492	LMIB		LM
HTWa1493	LMIB		LM
HTWa1494	LMIB		LM
HTWa1495	LMIB		LM
