word	slots	n_tablets
a3-mi	N3	1
tu-ri-si-jo	N7	1
ra-ti-jo	N7	1
a-da-ra-ro	N3	1
ma-ti-jo	N1	1
qi-ni-te-we	N1	1
je-zo	N3	1
i-na-ni-ja	N1	1
re-si-we-i	N1	1
a-se-e	N1	1
to-ko-do-mo	N1b	1
i-na-ne	N1	1
a2-ra-tu-wa	N1	1
a-pi-te-wa	N1b	1
o-ru-ma-si-ja-jo	N1	1
mi-ra-ti-ja-o	N1b	1
ku-ne-u	N3	1
e-o-te	N1	1
a-pe-e-si	N1	1
u-wa-si-jo	N2	1
o-pi-ja-ro	N1	1
ke-re-u-so	N1	1
te-u-ke-i-jo	N1	1
ta-me-je-u	N1	1
ka-na-pe-we	N1	1
a-re-pe-se-u	N1	1
ru-ra-ta-e	N1	1
to-mo	N1	1
qe-re-wa-o	N1b	1
to-ro-wi-ko	N1b	1
ke-ro-wo-jo	N1	1
ra-pa-sa-ko-jo	N1	1
a-pi-me-de-o	N1b	1
ti-ke-wo	N1b	1
o-ka-ri-jo	N1b	1
a-ta-ma-ne-u	N1b	1
po-ro-qa-ta-jo	N1b	1
