word	slots	n_docs
ke-ro-wo	N2	1
ke-sa-do-ro	N5,N6	1
ke-sa-me-no	N2	1
ke-ta	N1,N4	2
ke-ti-ro	N1,N3,N6	3
ke-to	N1,N3	3
ke-u-po-da-o	N3	1
ke-u-sa	N3	1
ke-we-no	N2,N5	2
ke-we-to	N5	1
ke-we-to-jo	N5	1
ki	N1,N3	34
ki-du-ro	N1	1
ki-je-u	N6	1
ki-jo-qe-u	N1b	1
ki-ke-ro	N1,N6	1
ki-ki-jo	N3	1
ki-ma-ra	N1	1
ki-ma-ra-o	N1b	1
ki-ma-ta	N5,N6	1
ki-mu-ko	N3	1
ki-mu-ku	N3	1
ki-ni-di-ja	N1	2
ki-ni-di-ja-o	N1b	1
ki-nu-wa	N1	1
ki-ri-ja-si	N1	1
ki-ri-jo-te	N3	8
ki-ri-ne-to	N3	1
ki-ri-se-we	N1	1
ki-ri-te-wi-ja	N4	1
ki-sa	N3	1
ki-sa-nu-mo	N3	1
ki-si-wi-ja	N1	1
ki-so	N3	1
ki-ta-ne-to	N3	1
ki-ti-me-na	N7	5
ki-ti-ta	N1	1
ki-to	N1,N3	2
ki-u-ro	N1,N3	2
ki-u-ro-i	N1	1
ki-zo	N5	1
ko-a-ta	N1	1
ko-a2-ta	N5	1
ko-do	N2,N4,N7	4
ko-ko	N6	1
ko-ku	N3	1
ko-ku-ro	N1	1
ko-ma-do-ro	N5	1
ko-ma-we	N1	1
ko-ma-we-ta	N1	1
ko-ma-we-te	N2,N3	3
ko-ma-we-to	N1,N3,N6	5
ko-me-no	N1,N6	2
ko-ne-wa-ta	N5	1
ko-ni-da-jo	N1	1
ko-ni-jo	N5	1
ko-no-si-ja	N3,N6	2
ko-pe-re-u	N4	1
ko-re-te	N1	2
ko-ri-jo	N3	1
ko-ro	N2,N3	2
ko-ro-ki-ja	N1	2
ko-ro-ki-ja-o	N1b	1
ko-ro-ku-ra-i-jo	N1	2
ko-ro-sa-no	N5,N6	1
ko-ro-su-ka	N1	1
ko-ro-tu-no	N1	1
ko-ru-no	N2	1
ko-ru-to	N3	1
ko-sa-ma-ne	N1	1
ko-so	N6	1
ko-so-jo	N1,N6	1
ko-so-ne	N2	1
ko-so-u-to	N5	1
ko-ta-o	N3	1
ko-ta-wo	N1	1
ko-te-u	N3	1
ko-ti	N3	2
ko-to-na	N7	18
ko-to-na-no-no	N7	1
ko-to-ne-we	N1	1
ko-to-no	N7	1
ko-to-no-o-ko	N7	1
ko-tu-ro2	N1	1
ko-tu-we	N1b	1
ko-u-re-ja	N1,N6	1
ko-wa	N5,N6	12
ko-we-jo	N3	2
ko-wi-ro-wo-ko	N1	1
ko-wo	N1,N1b,N5,N6	52
ko-za-ro	N1	1
ku-da-ma-ro	N4	1
ku-do	N3	1
ku-i-so	N3	1
ku-ja-ro	N3	1
ku-jo	N3	1
ku-ka-no	N3	1
ku-ka-ro	N3	1
ku-ka-so	N1,N6	1
ku-ke-re-u	N5	1
ku-ke-so	N3	1
ku-ke-to	N3	1
ku-mi-so	N3	1
ku-mo-no	N3	1
ku-mo-no-so	N3	1
ku-ne-u	N3	1
ku-ni-ta	N1	1
ku-pa-nu-we-to	N5,N6	1
