word	count	n_docs
a-di-je-wo	2	2
qa-mi-jo	2	2
a-me-a	2	2
e-ka-te-jo	2	2
a-mo-te-re	2	2
ka-ra-re-we	2	2
ne-ki-ri-de	2	2
ke-ro-ta	2	2
pa-ra-wa-jo	2	2
a-ke-ta	2	2
ke-do-si-ja	2	2
pa-wi-no	2	2
ma-ma-ro	2	2
a-pi-me-de	2	2
pu-ra	2	2
ma-di-qo	2	2
a-pi	2	2
pa-sa	2	2
po-ti-ni-ja-we-ja	2	2
a-pu	2	2
ki-ta-ne-to	2	2
si-mi-te-u	2	2
we-ka-di-jo	2	2
no-re	2	2
wo-we-u	2	2
ka-po	2	2
pe-ra	2	2
e-pi-ke-re	2	2
a-ke-re-mo-no	2	1
a3-ki-no-o	2	2
e-re-pa-te-jo-pi	2	1
ka-ke	2	2
i-qo	2	2
a3-wo-ro	2	2
o-du-ru-wi-jo	2	2
da-nu-wo	2	2
si-ra-ro	2	2
a-pa-ta-wa	2	2
de-ki-si-wo	2	2
qa-sa-ko	2	2
ka-sa-ro	2	2
ko-to	2	2
ra-wo-qo-no-jo	2	2
e-se-re-e-jo	2	2
ri-jo-de	2	2
do-ri-ka-o	2	2
da-to-ro	2	2
e-wi-su-zo-ko	2	2
ti-ta-ma	2	2
ke-ra	2	2
po-ka	2	2
pe-ra2	2	2
ka-di-ti-ja	2	2
e-re-pa-te-o	2	2
pe-ri-qo-ta	2	2
a3-zo-ro-qe	2	2
we-ka-sa	2	2
e-ra-wo	2	2
ru-wo	2	2
a-re-ki-si-to-jo	2	2
a-te-i-ja-ta	2	2
ka-da-no	2	2
za-ra-ro	2	2
ka-mi-ni-to	2	2
e-ru-to-ro	2	2
ti-mi-za	2	2
ko-ti	2	2
a-ka-ta-jo	2	2
ru-na-mo	2	2
qa-si-da-ro	2	2
de-ke-se-u	2	2
po-ro-u-te-u	2	2
po-ru-qo-to	2	2
ra-ko	2	2
da-ja-ro	2	2
ka-to	2	2
to-u-na-ta	2	2
a3-ke-wa-to	2	2
ta-na-po-so	2	2
du-ni	2	2
a3-ta-ro-we	2	2
na-pu-ti-jo	2	2
ku-ta-si-jo	2	2
a-no-ke-we	2	2
ko-ri-jo	2	2
je-zo	2	2
tu-qa-ni-ja-so	2	2
pa-ti	2	2
u-wa-ta	2	2
te-ru-sa	2	2
u-ra-mo-no	2	2
a-re-ta2	2	2
qa-sa-ro-we	2	2
ta-we-si-jo	2	2
ka-ne-u-ta	2	2
wi-ja-ma-ro	2	2
te-pa	2	2
ru-na-so	2	2
ka-ni-to	2	2
a-wo-i-jo	2	2
qi-ja-zo	2	2
ka-ri-se-u	2	2
ru-na	2	2
du-to	2	1
ke-ka-to	2	2
e-sa-re-we	2	2
a3-ni-jo	2	2
za-mi-jo	2	2
ke-sa-do-ro	2	2
sa-zo	2	2
pi-ma-na-ro	2	2
e-ke-da-mo	2	2
zo-wi-jo	2	2
pa-ka	2	2
po-da	2	1
mo-ri-wo-do	2	1
de-so-mo	2	2
pi-ri-je-te	2	2
pa-ta-ja	2	2
a-mo	2	2
o-da-ke-we-ta	2	2
te-wi-ja	2	2
i-qi-jo	2	2
e-re-pa	2	2
do-we-jo	2	2
wi-ri-ne-jo	2	2
te-mi-dwe-te	2	2
a-re-ki-si-to	2	2
me-to-re	2	2
e-ri-ko	2	2
ze-ro	2	2
ka-pa-ra2	2	2
po-ro-ko	2	2
do-si	2	2
pa-ra-ku	2	2
ki-ri	2	2
ti-ko-ro	2	2
wo-jo	2	2
wi-ri-ne-we	2	2
ja-we-jo	2	2
ti-no	2	2
di-du-mo	2	2
ta-jo	2	2
di-ki	2	2
ja-ro	2	2
da-ma	2	2
e-me	2	2
me-ri-to	2	2
pe-po-ro	2	2
ta-o	2	2
te-i-ja	2	2
